"ID","BOVEN_ID","TOP_ID","GUID","INV","AET","STUK_BESCHRIJVING","BOVENLIGGENDE_BESCHRIJVING","TOEGANG_BESCHRIJVING"
890684,890671,890555,"609C5B9BB36C4642E0534701000A17FD","800.69","EB","69.  Foto's van de gevel van het perceel Oudkerkhof 2 met het gat veroorzaakt door de inslag van een onontplofte Duitste luchtdoelgranaat, 1942","1.2.3.2. Onderhoud, verbouwingen","800   Firma weduwe J.R. van Rossum te Utrecht   "
906386,906369,906085,"609C5B9C0D2C4642E0534701000A17FD","1132.235-3","EB","235-3.  Stukken betreffende het gebruik van de stadsschouwburg in 1945 door de geallieerde strijdkrachten, alsmede stukken betreffende de afrekening met het bureau militaire vorderingen van de onkosten gemaakt tijdens het gebruik, 1945-1949","1.2.7.3. Onderhoud, beheer en inrichting","1132   Stadsschouwburg te Utrecht   "
906542,906541,906085,"609C5B9BC43D4642E0534701000A17FD","1132.359","EB","359.  Contracten met diverse toneelgezelschappen voor de verhuur van de toneelzaal, 1941","1.2.8.4.1. Contracten","1132   Stadsschouwburg te Utrecht   "
994720,994719,994303,"609C5B9D5BAF4642E0534701000A17FD","836.243","DB","243.  1940-1949","Stukken betreffende de invordering van Jaarbeursgebouwen door de Duitse en geallieerde krijgsmachten, en de vergoeding van de geleden oorlogsschade, 1940-1955","836   N.V. Koninklijke Nederlandse Jaarbeurs te Utrecht     Vanwege ruimtegebrek bewaren wij dit archief niet in ons eigen depot. U kunt dit archief inzien door het aan te vragen via ons aanvraagformulier: <a href=""https://hetutrechtsarchief.nl/aanvragen"">https://hetutrechtsarchief.nl/aanvragen</a> "
994721,994719,994303,"609C5B9D5BB04642E0534701000A17FD","836.244","DB","244.  1950-1955","Stukken betreffende de invordering van Jaarbeursgebouwen door de Duitse en geallieerde krijgsmachten, en de vergoeding van de geleden oorlogsschade, 1940-1955","836   N.V. Koninklijke Nederlandse Jaarbeurs te Utrecht     Vanwege ruimtegebrek bewaren wij dit archief niet in ons eigen depot. U kunt dit archief inzien door het aan te vragen via ons aanvraagformulier: <a href=""https://hetutrechtsarchief.nl/aanvragen"">https://hetutrechtsarchief.nl/aanvragen</a> "
1533822,1533821,1533821,"609C5BA2ABD54642E0534701000A17FD","387.1","PAP","1","387 verzameling petrus van musschenbroek, archivaris van het departement utrecht en de stad utrecht","387 verzameling petrus van musschenbroek, archivaris van het departement utrecht en de stad utrecht"
1533823,1533821,1533821,"609C5BA2ABD64642E0534701000A17FD","387.2","PAP","2","387 verzameling petrus van musschenbroek, archivaris van het departement utrecht en de stad utrecht","387 verzameling petrus van musschenbroek, archivaris van het departement utrecht en de stad utrecht"
1533824,1533821,1533821,"609C5BA2ABD74642E0534701000A17FD","387.3","PAP","3","387 verzameling petrus van musschenbroek, archivaris van het departement utrecht en de stad utrecht","387 verzameling petrus van musschenbroek, archivaris van het departement utrecht en de stad utrecht"
1533825,1533821,1533821,"609C5BA2ABD84642E0534701000A17FD","387.4","PAP","4","387 verzameling petrus van musschenbroek, archivaris van het departement utrecht en de stad utrecht","387 verzameling petrus van musschenbroek, archivaris van het departement utrecht en de stad utrecht"
1533826,1533821,1533821,"609C5BA2ABD94642E0534701000A17FD","387.5","PAP","5","387 verzameling petrus van musschenbroek, archivaris van het departement utrecht en de stad utrecht","387 verzameling petrus van musschenbroek, archivaris van het departement utrecht en de stad utrecht"
1533827,1533821,1533821,"609C5BA2ABDA4642E0534701000A17FD","387.6","PAP","6","387 verzameling petrus van musschenbroek, archivaris van het departement utrecht en de stad utrecht","387 verzameling petrus van musschenbroek, archivaris van het departement utrecht en de stad utrecht"
1533828,1533821,1533821,"609C5BA2ABDB4642E0534701000A17FD","387.7","PAP","7","387 verzameling petrus van musschenbroek, archivaris van het departement utrecht en de stad utrecht","387 verzameling petrus van musschenbroek, archivaris van het departement utrecht en de stad utrecht"
2622052,2622041,2621868,"609C5BB02BB54642E0534701000A17FD","774.97","EB","97.  Stukken betreffende een bijdrage van het College van Algemene Commissarissen voor de Wederopbouw te 's-Gravenhage in de oorlogsschade aan het concertgebouw, 1947, 1948","1.2.5.1.1. Gebouw en park aan de Kruisstraat","774   N.V. Tivoli te Utrecht   "
2857630,2857627,2827575,"609C5BB2AAD64642E0534701000A17FD","778.148","EB","148.  Staat houdende de namen en adressen van de ambtenaren die deel uitmaken van de rampploeg, 1943","2.5.05. Sociale hulpverlening bij calamiteiten","778   Gemeentelijke distributiedienst te Utrecht   "
2857631,2857627,2827575,"609C5BB2AAD74642E0534701000A17FD","778.149","EB","149.  Staat houdende de namen van gewonde personen door het bombardement van 13 oktober te Utrecht, 1944. Doorslag","2.5.05. Sociale hulpverlening bij calamiteiten","778   Gemeentelijke distributiedienst te Utrecht   "
805714,805712,805411,"609C5B9A4B544642E0534701000A17FD","26.216","EB","216.  Stukken betreffende de aktiviteit van Jacob Hendrik des Tombe in het verzet tegen de Duitse bezetting en de voorbereiding voor een na de bevrijding in te stellen zuivering, 1944","2.1.16.2. Militair en ambtelijk","26   Familie Des Tombe   "
805715,805712,805411,"609C5B9A924C4642E0534701000A17FD","26.217","EB","217.  Stukken betreffende het ontslag van Jacob Hendrik des Tombe uit de Binnenlandse Strijdkrachten, 1945","2.1.16.2. Militair en ambtelijk","26   Familie Des Tombe   "
805716,805712,805411,"609C5B9A924D4642E0534701000A17FD","26.218","EB","218.  Stukken betreffende de toekenning aan Jacob hendrik des Tombe van het onderscheidingsteken wegens langdurige dienst als officier, 1941-1947","2.1.16.2. Militair en ambtelijk","26   Familie Des Tombe   "
805717,805712,805411,"609C5B9A924E4642E0534701000A17FD","26.219","EB","219.  Stukken van Jacob Hendrik des Tombe als lid van de Commissie Beoordeling Officieren Bezet Gebied, 1945-1947","2.1.16.2. Militair en ambtelijk","26   Familie Des Tombe   "
805718,805712,805411,"609C5B9A924F4642E0534701000A17FD","26.220","EB","220.  Persoonsdossiers van de Commissie Beoordeling Officieren Bezet Gebied, 1945-1947","2.1.16.2. Militair en ambtelijk","26   Familie Des Tombe   "
805719,805712,805411,"609C5B9A92504642E0534701000A17FD","26.221","EB","221.  Stukken betreffende de benoeming en het ontslag van Jacob Hendrik des Tombe als voorzitter van de derde kamer bij het tribunaal te Utrecht, 1945-1946","2.1.16.2. Militair en ambtelijk","26   Familie Des Tombe   "
805720,805712,805411,"609C5B9A92514642E0534701000A17FD","26.222","EB","222.  Stukken betreffende de dokumentatiekommissie voor de zuivering van overheidspersoneel in de provincie Utrecht, waarvan Jacob Hendrik des Tombe voorzitter was, 1945-1947","2.1.16.2. Militair en ambtelijk","26   Familie Des Tombe   "
805721,805712,805411,"609C5B9A92524642E0534701000A17FD","26.223","EB","223.  Notulen van de dokumentatiekommissie, 1946","2.1.16.2. Militair en ambtelijk","26   Familie Des Tombe   "
805723,805712,805411,"609C5B9A92544642E0534701000A17FD","26.225","EB","225.  Rapporten en adviezen van de advieskommissie voor de zuivering van burgemeesters, 1945","2.1.16.2. Militair en ambtelijk","26   Familie Des Tombe   "
805724,805712,805411,"609C5B9A92554642E0534701000A17FD","26.226","EB","226.  Notulen van de advieskommissie voor de zuivering van burgemeesters, 1945","2.1.16.2. Militair en ambtelijk","26   Familie Des Tombe   "
805725,805712,805411,"609C5B9A92564642E0534701000A17FD","26.227","EB","227.  Stukken betreffende de zuivering van personeel der gemeente Utrecht, 1946","2.1.16.2. Militair en ambtelijk","26   Familie Des Tombe   "
805726,805712,805411,"609C5B9A92574642E0534701000A17FD","26.228","EB","228.  Stukken betreffende de benoeming en werkzaamheid van Jacob Hendrik des Tombe als lid van de zuiveringskommissie van P.T.T. personeel in Utrecht, 1945","2.1.16.2. Militair en ambtelijk","26   Familie Des Tombe   "
3041552,805712,805411,"609C5BA42C3B4642E0534701000A17FD","26.217-a","EB","217-a.  Lijsten van leden van de binnenlandse strijdkrachten distrikt III, gewest VIII, 1945","2.1.16.2. Militair en ambtelijk","26   Familie Des Tombe   "
3041554,805712,805411,"609C5BA42C3D4642E0534701000A17FD","26.221-a","EB","221-a.  Ingekomen stukken bij Jacob Hendrik des Tombe als voorzitter van de derde kamer bij het tribunaal te Utrecht, 1946","2.1.16.2. Militair en ambtelijk","26   Familie Des Tombe   "
3041642,805712,805411,"609C5BA4BE034642E0534701000A17FD","26.221-l","EB","221-l.  Stukken betreffende de plaatsing van de naam van een voormalig SS-er, later lid van de knokploeg te Benschop, op een grafmonument ter nagedachtenis aan de gevallenen van de knokploeg van Benschop, 1945","2.1.16.2. Militair en ambtelijk","26   Familie Des Tombe   "
3041607,3041606,805411,"609C5BA42C3F4642E0534701000A17FD","26.221-b","DB","221-b.  Amersfoort","Dossiers van politieke delinkwenten, aangehouden en in bewaring gesteld door de politieke opsporingsdienst, 1945-1946, met retroakten vanaf 1936","26   Familie Des Tombe   "
3041608,3041606,805411,"609C5BA42C404642E0534701000A17FD","26.221-c","DB","221-c.  Baarn","Dossiers van politieke delinkwenten, aangehouden en in bewaring gesteld door de politieke opsporingsdienst, 1945-1946, met retroakten vanaf 1936","26   Familie Des Tombe   "
3041609,3041606,805411,"609C5BA42C414642E0534701000A17FD","26.221-d","DB","221-d.  Bunnik","Dossiers van politieke delinkwenten, aangehouden en in bewaring gesteld door de politieke opsporingsdienst, 1945-1946, met retroakten vanaf 1936","26   Familie Des Tombe   "
3041610,3041606,805411,"609C5BA42C424642E0534701000A17FD","26.221-e","DB","221-e.  Den Dolder","Dossiers van politieke delinkwenten, aangehouden en in bewaring gesteld door de politieke opsporingsdienst, 1945-1946, met retroakten vanaf 1936","26   Familie Des Tombe   "
3041611,3041606,805411,"609C5BA42C434642E0534701000A17FD","26.221-f","DB","221-f.  Driebergen-Rijsenburg","Dossiers van politieke delinkwenten, aangehouden en in bewaring gesteld door de politieke opsporingsdienst, 1945-1946, met retroakten vanaf 1936","26   Familie Des Tombe   "
3041612,3041606,805411,"609C5BA42C444642E0534701000A17FD","26.221-g","DB","221-g.  Soest","Dossiers van politieke delinkwenten, aangehouden en in bewaring gesteld door de politieke opsporingsdienst, 1945-1946, met retroakten vanaf 1936","26   Familie Des Tombe   "
3041613,3041606,805411,"609C5BA42C454642E0534701000A17FD","26.221-h","DB","221-h.  Soesterberg","Dossiers van politieke delinkwenten, aangehouden en in bewaring gesteld door de politieke opsporingsdienst, 1945-1946, met retroakten vanaf 1936","26   Familie Des Tombe   "
3041614,3041606,805411,"609C5BA42C464642E0534701000A17FD","26.221-i","DB","221-i.  Utrecht","Dossiers van politieke delinkwenten, aangehouden en in bewaring gesteld door de politieke opsporingsdienst, 1945-1946, met retroakten vanaf 1936","26   Familie Des Tombe   "
3041615,3041606,805411,"609C5BA42C474642E0534701000A17FD","26.221-j","DB","221-j.  Woudenberg","Dossiers van politieke delinkwenten, aangehouden en in bewaring gesteld door de politieke opsporingsdienst, 1945-1946, met retroakten vanaf 1936","26   Familie Des Tombe   "
3041616,3041606,805411,"609C5BA42C484642E0534701000A17FD","26.221-k","DB","221-k.  Zeist","Dossiers van politieke delinkwenten, aangehouden en in bewaring gesteld door de politieke opsporingsdienst, 1945-1946, met retroakten vanaf 1936","26   Familie Des Tombe   "
1053102,1053100,1052728,"609C5B9E01174642E0534701000A17FD","795.279","EB","279.  Staten van namen van armen in de parochie, 1944/1945","1.4.2.3. Taakuitoefening","795   Parochie van de Heilige Antonius te Utrecht   "
2724119,2724117,2723464,"609C5BB128D34642E0534701000A17FD","791.420","EB","420.  Jaarrapporten van het Rijks-Hospitaal te Utrecht aan de kerkeraad betreffende de verpleging van militairen over 1941-1942. Afschriften","3.1.1.2.9.3. Arbeid onder militairen","791   Gereformeerde Kerk te Utrecht   "
2724094,2724053,2723464,"609C5BB128BA4642E0534701000A17FD","791.401","EB","401.  Bijlagen bij de registers van de ingekomen en afgegeven attestaties van in Utrecht gelegerde militairen en het register van de afgegeven militaire attestaties i.v.m. de mobilisatie, 1937-1940, z.j.","3.1.1.2.7.3. Lidmaatschap","791   Gereformeerde Kerk te Utrecht   "
2724697,2724696,2723464,"609C5BB182A54642E0534701000A17FD","791.897","EB","897.  Notulen van de vergaderingen van de commissie, 1942-1943","3.1.8. Commissie voor de behartiging van de geestelijke belangen van de buitenslands werkende leden der Gereformeerde Kerk van Utrecht","791   Gereformeerde Kerk te Utrecht   "
2724698,2724696,2723464,"609C5BB182A64642E0534701000A17FD","791.898","EB","898.  Ingekomen en minuten van uitgaande stukken van de commissie, 1941-1944, z.j.","3.1.8. Commissie voor de behartiging van de geestelijke belangen van de buitenslands werkende leden der Gereformeerde Kerk van Utrecht","791   Gereformeerde Kerk te Utrecht   "
2724699,2724696,2723464,"609C5BB182A74642E0534701000A17FD","791.899","EB","899.  Staten van de buitenslands werkende, geïnterneerde of gevangen zittende leden van de Gereformeerde Kerk van Utrecht, 1942, met aantekeningen over mutaties, 1942-1943, z.j.","3.1.8. Commissie voor de behartiging van de geestelijke belangen van de buitenslands werkende leden der Gereformeerde Kerk van Utrecht","791   Gereformeerde Kerk te Utrecht   "
2724718,2724713,2723464,"609C5BB182B94642E0534701000A17FD","791.910","EB","910.  Stukken betreffende brand-, oorlogsschade- en glasverzekeringen op de opstal en de inventaris van het evangelisatiegebouw, 1938, 1942, 1947, 1954","3.1.9.1.2. Stukken betreffende bijzondere onderwerpen","791   Gereformeerde Kerk te Utrecht   "
2724092,2724091,2723464,"609C5BB128B84642E0534701000A17FD","791.399","DB","399.  1929-1936 mei","Registers van de ingekomen en afgegeven attestaties van in Utrecht gelegerde militairen, 1929-1939, en register van de afgegeven militaire attestaties i.v.m. de mobilisatie, 1939-1940","791   Gereformeerde Kerk te Utrecht   "
2724093,2724091,2723464,"609C5BB128B94642E0534701000A17FD","791.400","DB","400.  1936-1940","Registers van de ingekomen en afgegeven attestaties van in Utrecht gelegerde militairen, 1929-1939, en register van de afgegeven militaire attestaties i.v.m. de mobilisatie, 1939-1940","791   Gereformeerde Kerk te Utrecht   "
1103931,1103930,1103762,"609C5B9EEE014642E0534701000A17FD","650.68","EB","68.  Ingekomen stukken bij en minuten van uitgaande stukken van de SKPL betreffende uiteenlopende zaken, 1945 jan. 18-mei 2","1.8. Knokploegen (KP)","650   Collectie Utrechts verzet   "
1103941,1103930,1103762,"609C5B9EEE0B4642E0534701000A17FD","650.77","EB","77.  Correspondentie van de SKPL (Stads KP-leider) met de DID (Districts Inlichtingen Dienst), de GID (Gewestelijke Inlichtingen Dienst) en de Inlichtingen Dienst van de SCU (Stads Commandant Utrecht), 1945 febr. 14-april 30","1.8. Knokploegen (KP)","650   Collectie Utrechts verzet   "
1103942,1103930,1103762,"609C5B9EEE0C4642E0534701000A17FD","650.78","EB","78.  Correspondentie van de SKPL met de Voedingsofficier, 1945 mrt. 19-april 14","1.8. Knokploegen (KP)","650   Collectie Utrechts verzet   "
1103943,1103930,1103762,"609C5B9EEE0D4642E0534701000A17FD","650.79","EB","79.  Overzicht van de bewapening van de stad Utrecht. Fotokopie, z.j.","1.8. Knokploegen (KP)","650   Collectie Utrechts verzet   "
1103944,1103930,1103762,"609C5B9EEE0E4642E0534701000A17FD","650.80","EB","80.  Opgave door de Commandant Stormtroepen van de sterkte en de bewapening van de secties. Fotokopie, 1945 mrt. 30","1.8. Knokploegen (KP)","650   Collectie Utrechts verzet   "
1103945,1103930,1103762,"609C5B9EEE0F4642E0534701000A17FD","650.81","EB","81.  Lijst met gecodeerde benamingen voor afgeworpen wapens en explosieven, [najaar 1944]","1.8. Knokploegen (KP)","650   Collectie Utrechts verzet   "
1103946,1103930,1103762,"609C5B9EEE104642E0534701000A17FD","650.82","EB","82.  Brief van ""Theo"" (Piet Mostert) aan ""Nico"" (Johan van Uitert) betreffende de aflevering van wapens aan de DC I (districtscommandant Utrecht-stad), 1945 april 7","1.8. Knokploegen (KP)","650   Collectie Utrechts verzet   "
1103947,1103930,1103762,"609C5B9EEE114642E0534701000A17FD","650.83","EB","83.  Lijst van wapens, verstrekt aan Van Eijk, z.j.","1.8. Knokploegen (KP)","650   Collectie Utrechts verzet   "
1103948,1103930,1103762,"609C5B9EEE124642E0534701000A17FD","650.84","EB","84.  Verslag van P. Bosman, eigenaar van een boerderij bij Wilnis, over het gebruik van diens bedrijf als afwerpterrein voor wapendroppings. Fotokopie, 1945","1.8. Knokploegen (KP)","650   Collectie Utrechts verzet   "
1103949,1103930,1103762,"609C5B9EEE134642E0534701000A17FD","650.85","EB","85.  Lijst van de blikken met voedsel die tegelijk met een wapendropping werden afgeworpen, z.j.","1.8. Knokploegen (KP)","650   Collectie Utrechts verzet   "
1103950,1103930,1103762,"609C5B9EEE144642E0534701000A17FD","650.86","EB","86.  Verslag van de werkzaamheden van de bewapeningsploeg in gewest VIII en van de gebeurtenissen op 12 april 1945, waarbij een partij wapens in handen viel van de Duitsers, z.j. Fotokopie","1.8. Knokploegen (KP)","650   Collectie Utrechts verzet   "
1103951,1103930,1103762,"609C5B9EEE154642E0534701000A17FD","650.87","EB","87.  Rapporten van uitgevoerde sabotage-acties. Fotokopie, 1945 april 17-22","1.8. Knokploegen (KP)","650   Collectie Utrechts verzet   "
1103952,1103930,1103762,"609C5B9EEE164642E0534701000A17FD","650.87-a","EB","87-a.  Overzicht van verzetsactiviteiten van de KP stad Utrecht tussen 1943 en 1945, z.j.","1.8. Knokploegen (KP)","650   Collectie Utrechts verzet   "
1103953,1103930,1103762,"609C5B9EEE174642E0534701000A17FD","650.88","EB","88.  Stukken betreffende de bezwaren van de Staf van de Utrechtse KP tegen de OD-leden die door het Delta-commando voorbestemd waren om Utrechtse commandanten te worden, 1944 okt. 3-dec. 15","1.8. Knokploegen (KP)","650   Collectie Utrechts verzet   "
1103954,1103930,1103762,"609C5B9EEE184642E0534701000A17FD","650.89","EB","89.  Verzoek van ""Theo"" (Piet Mostert, KP-leider) aan ""Bob"" (Gerrit Westdijk, districtsleider LO stad-Utrecht) om buitgemaakte controlezegels te voorzien van het gestempelde nummer van de gemeente Nijmegen, z.j.","1.8. Knokploegen (KP)","650   Collectie Utrechts verzet   "
1103955,1103930,1103762,"609C5B9EEE194642E0534701000A17FD","650.90","EB","90.  Buitgemaakt stempel van het Gewestelijk Arbeidsbureau Utrecht, gebruikt voor het vervalsen van documenten, z.j.","1.8. Knokploegen (KP)","650   Collectie Utrechts verzet   "
1103956,1103930,1103762,"609C5B9EEE1A4642E0534701000A17FD","650.91","EB","91.  Het Contra Signaal, circulaire aan groepen die zich bezighouden met de uitvoering van liquidaties, waarin een opgave van handlangers van de Sicherheitsdienst die onschadelijk moeten worden gemaakt, z.j.","1.8. Knokploegen (KP)","650   Collectie Utrechts verzet   "
1103957,1103930,1103762,"609C5B9EEE1B4642E0534701000A17FD","650.92","EB","92.  Extra uitgave van het illegale blad Voor God en den Koning, verschenen naar aanleiding van de executie van Henk Knipschild en enkele andere KP'ers, 1944 sept","1.8. Knokploegen (KP)","650   Collectie Utrechts verzet   "
1103958,1103930,1103762,"609C5B9EEE1C4642E0534701000A17FD","650.92-a","EB","92-a.  Nieuw Utrechtsch Dagblad, exemplaar van de krant van 17 september 1946","1.8. Knokploegen (KP)","650   Collectie Utrechts verzet   "
1103960,1103930,1103762,"609C5B9EEE1E4642E0534701000A17FD","650.93","EB","93.  Verslagen van vraaggesprekken met Cor Been, Maarten Verhey en Harry Witte, gehouden door N. de Boer, 1946 okt.","1.8. Knokploegen (KP)","650   Collectie Utrechts verzet   "
1103961,1103930,1103762,"609C5B9EEE1F4642E0534701000A17FD","650.94","EB","94.  Herinneringen van Ad Hazevoet, plaatselijk commandant KP Utrecht-stad, aan de maand september 1944, 1951 dec. 28. Fotokopie","1.8. Knokploegen (KP)","650   Collectie Utrechts verzet   "
1104007,1104006,1103762,"609C5B9E9FD04642E0534701000A17FD","650.127","EB","127.  Legitimatiebewijzen uitgegeven door het Gewestelijk Arbeidsbureau en door de Provinciale Voedselcommissaris, vervalst voor het gebruik door onderduikers, 1943","3. Onrechtmatig verkregen en vervalste documenten","650   Collectie Utrechts verzet   "
1104008,1104006,1103762,"609C5B9E9FD14642E0534701000A17FD","650.128","EB","128.  Legitimatiebewijzen, in gebruik bij de Nederlandse Spoorwegen en bij het Korps Marechaussee. Blanco, 1944, z.j.","3. Onrechtmatig verkregen en vervalste documenten","650   Collectie Utrechts verzet   "
1104009,1104006,1103762,"609C5B9E9FD24642E0534701000A17FD","650.129","EB","129.  Sonderausweis van de provinciale Beauftragte des Reichskommissars, waarmee vergunning wordt verleend om zich buiten de spertijd op straat te bevinden. Blanco, z.j.","3. Onrechtmatig verkregen en vervalste documenten","650   Collectie Utrechts verzet   "
1104010,1104006,1103762,"609C5B9E9FD34642E0534701000A17FD","650.130","EB","130.  Verklaringen voor vrijstelling op de vordering van rijwielen, af te geven door de burgemeester van Utrecht, z.j. Blanco. Met een attest van de Deutsche Fahrbereitschaftsleiter, z.j.","3. Onrechtmatig verkregen en vervalste documenten","650   Collectie Utrechts verzet   "
1104011,1104006,1103762,"609C5B9E9FD44642E0534701000A17FD","650.131","EB","131.  Legitimatiebewijzen van Ernst Minjon, schuilnaam Es, 1942-1944","3. Onrechtmatig verkregen en vervalste documenten","650   Collectie Utrechts verzet   "
1104012,1104006,1103762,"609C5B9E9FD54642E0534701000A17FD","650.132","EB","132.  Legitimatiepapieren van Anna de Waard, schuilnamen Antje Duursma, mej. Wieringa en Antje Wiersma. Met een latere uitleg over de vervalsing van haar persoonsbewijzen, 1943, z.j.","3. Onrechtmatig verkregen en vervalste documenten","650   Collectie Utrechts verzet   "
